"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,59.01588571428565,1.0,8029.0,68.0,74.0,93.0,763.3088347545417,164.30626400683525,214.68060977471484,146.10208165223648
2,35000,0,0.0,53.80740000000033,2.0,1196.0,70.0,77.0,94.0,894.5915550557203,20.228401442120152,251.60387485942132,171.23041483488396
3,35000,0,0.0,54.1885714285715,2.0,332.0,70.0,77.0,94.0,892.4245901221348,14.881058789598587,250.99441597185037,170.81564420306483
4,35000,0,0.0,53.86474285714261,2.0,1056.0,70.0,77.0,93.0,894.4543828264758,16.768368922197382,251.56529516994632,171.20415921288014
5,35000,0,0.0,53.973999999999926,1.0,848.0,71.0,80.0,102.0,896.2409095564889,16.277577302642733,252.06775581276247,171.54611159479668
6,35000,0,0.0,55.03697142857154,2.0,1092.0,71.0,79.95000000000073,105.0,878.249523235973,24.19625568303641,247.00767841011745,168.1024478068855
