"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,12.180685714285698,2.0,81.0,17.0,20.0,27.0,1589.3919440534037,422.1822351391853,301.11527065074245
2,35000,0,0.0,12.214028571428658,1.0,108.0,18.0,20.0,27.0,1582.4215571028121,420.3307261054345,299.79470906049374
3,35000,0,0.0,12.35191428571433,1.0,86.0,18.0,20.0,28.0,1569.014210785852,416.76939973999197,297.25464540278836
4,35000,0,0.0,12.071314285714225,2.0,107.0,18.0,20.0,27.0,1607.3478760045925,426.95177956371987,304.5170780711826
5,35000,0,0.0,12.366799999999945,1.0,103.0,18.0,21.0,29.0,1565.1551739558179,415.74434308201415,296.5235388158483
6,35000,0,0.0,12.134371428571448,1.0,106.0,17.0,20.0,27.0,1602.710870958879,425.72007509845224,303.6385829746314
