"framework","runNumber","caseNumber","factor","factorValue"
"swarm","1","replica20","throughput",336.82721182721184
"swarm","2","replica20","throughput",347.5587954870491
"swarm","3","replica20","throughput",347.29665356675
"swarm","4","replica20","throughput",344.96185162549534
"swarm","5","replica20","throughput",344.67645031025313
"swarm","6","replica20","throughput",339.6187962190175
"k8s","1","replica20","errorPct",0.0
"k8s","2","replica20","errorPct",0.0
"k8s","3","replica20","errorPct",0.0
"k8s","4","replica20","errorPct",0.0
"k8s","5","replica20","errorPct",0.0
"k8s","6","replica20","errorPct",0.0
"nomad","1","replica20","errorPct",17.951136
"nomad","2","replica20","errorPct",17.782541
"nomad","3","replica20","errorPct",2.5575082
"nomad","4","replica20","errorPct",1.7973996
"nomad","5","replica20","errorPct",1.3973424
"nomad","6","replica20","errorPct",1.3344764
"swarm","1","replica20","errorPct",0.0
"swarm","2","replica20","errorPct",0.0
"swarm","3","replica20","errorPct",0.0
"swarm","4","replica20","errorPct",0.0
"swarm","5","replica20","errorPct",0.0
"swarm","6","replica20","errorPct",0.0
