"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,46.746914285714034,2.0,1967.0,49.0,52.0,61.0,419.0813736290052,117.86663633315771,80.21479417117678
2,35000,0,0.0,45.40145714285707,2.0,212.0,50.0,52.0,61.0,433.83947939262475,122.0173535791757,83.03958785249458
3,35000,0,0.0,46.100628571428324,2.0,1335.0,49.0,52.0,60.0,427.4704740036885,120.22607081353739,81.8205204147685
4,35000,0,0.0,45.649285714285725,2.0,1415.0,51.0,55.0,70.0,431.1884786438506,121.27175961858298,82.53216974042454
5,35000,0,0.0,46.21791428571452,2.0,2097.0,49.0,52.0,61.0,420.1176329372224,118.1580842635938,80.41314067939022
6,35000,0,0.0,45.721371428571416,2.0,979.0,50.0,54.0,70.0,431.3691657320335,121.32257786213441,82.56675437839704
