"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,7,0.02,16.815828571428458,4.0,1008.0,34.0,39.0,52.0,59.06016712339863,57.436096569595655,11.96951841496011
2,35000,0,0.0,17.336800000000142,4.0,115.0,35.0,43.0,58.0,57.27639296187683,55.6891832483529,11.607864884886723
3,35000,0,0.0,18.9131999999999,4.0,798.0,42.0,51.0,70.0,52.559813067270554,51.135709038448255,10.652184686172864
4,35000,0,0.0,20.254371428571417,4.0,1740.0,44.0,52.0,71.0,49.08663791592161,47.694049724325936,9.947967342046212
5,35000,0,0.0,21.42834285714301,4.0,1050.0,47.0,54.0,74.0,46.39048862438947,45.09261762681171,9.401607223330439
6,35000,0,0.0,21.26014285714289,4.0,235.0,48.0,54.0,75.0,46.73764557107394,45.43616123769965,9.471969399611543
