"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,52.18685714285725,2.0,1289.0,78.0,89.0,121.0,938.5642648360194,315.2989327183503,179.64706631626936
2,35000,0,0.0,50.556657142856885,2.0,633.0,79.0,90.0,115.0,968.8849518325767,325.4847885062562,185.4506353117041
3,35000,0,0.0,50.565942857142815,2.0,1084.0,78.0,90.0,118.0,966.5571235260004,324.7027836845158,185.0050744248985
4,35000,0,0.0,48.865657142856776,2.0,198.0,75.90000000000146,86.0,111.0,999.5145215181199,335.7744095724933,191.3133263843276
5,35000,0,0.0,52.56211428571424,2.0,6016.0,75.0,87.0,113.0,905.6330374932078,304.2360985328745,173.3438235826843
6,35000,0,0.0,50.5386285714282,2.0,1040.0,77.0,90.0,121.9900000000016,967.1179883945841,324.8911992263056,185.11242746615088
