"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,25.398799999999905,2.0,1231.0,37.0,43.0,58.0,771.9963826455213,28.162125860774175,221.64739892361646,146.25712718088977
2,35000,0,0.0,24.68311428571432,2.0,106.0,37.0,42.0,55.0,795.4003136149807,9.966317199191302,228.36688691680112,150.69107504033815
3,35000,0,0.0,25.566342857142917,2.0,1674.0,38.0,43.0,59.0,769.6536558548653,38.6586536028145,220.97478009895545,145.81329026937877
4,35000,0,0.0,25.947000000000013,2.0,1689.0,38.0,44.0,58.0,756.3969571230982,41.78843413407501,217.16865761151453,143.30176726746197
5,35000,0,0.0,24.71568571428575,2.0,1532.0,36.0,42.0,56.0,789.8181161709617,25.85119509413755,226.76418569752224,149.63351029020174
6,35000,0,0.0,25.742571428571527,2.0,891.0,38.0,43.0,57.0,763.6585791586664,22.83042819010427,219.25353737563273,144.67750425466923
