"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,7.435142857142854,2.0,826.0,10.0,12.0,18.0,663.4316475851087,190.47744569338084,125.68919885889757
2,35000,0,0.0,7.1443142857143105,2.0,982.0,10.0,11.0,17.0,690.6895054663141,198.30343223349252,130.85328521529777
3,35000,0,0.0,7.347342857142869,2.0,1283.0,10.0,12.0,18.0,670.7550785741664,192.5800713875048,127.07664574549636
4,35000,0,0.0,7.103799999999964,2.0,65.0,10.0,12.0,18.0,692.94581163753,198.95123888811895,131.2807494703914
5,35000,0,0.0,6.98131428571426,2.0,67.0,10.0,11.0,18.0,705.6593882941188,202.6014259360068,133.68937629790923
6,35000,0,0.0,6.811085714285714,2.0,67.0,10.0,11.0,17.0,722.6776238359728,207.48752090603128,136.91353420329955
