"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,2.654428571428567,1.0,68.0,3.0,3.0,7.0,367.3537931903102,1.1386785594374647,115.51554824929678,70.31381197783283
2,35000,0,0.0,2.504714285714285,1.0,71.0,3.0,3.0,6.0,392.2579488271487,1.0032835907419284,123.346737814787,75.08062301769644
3,35000,0,0.0,2.5077999999999667,2.0,66.0,3.0,3.0,5.0,391.29754265143214,0.9430158289665841,123.04473509156362,74.89679527312569
4,35000,0,0.0,2.572942857142866,1.0,74.0,3.0,3.0,5.0,377.95751757502455,1.0391597806299908,118.84992251870891,72.34343109834455
5,35000,0,0.0,2.5675714285714215,1.0,1303.0,3.0,3.0,6.0,382.18368840017905,7.025650052954114,120.17885514146258,73.15234660784678
6,35000,0,0.0,2.492914285714291,1.0,1110.0,3.0,3.0,6.0,393.5768261964736,6.007890852859042,123.76146292506297,75.33306438916877
