"runNumber","startTime","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,"warm",5830,0,0.0,5.137221269296738,2.0,70.0,8.0,10.0,15.0,889.3974065598779,290.96497187261633,170.23622234935164
1,"cold",5830,0,0.0,7.897941680960539,2.0,3858.0,8.0,11.0,15.0,592.0584949730883,193.69101153904742,113.32369630344267
1,"warm",5830,0,0.0,4.583876500857606,2.0,75.0,7.0,9.0,13.0,978.0238215064586,319.95896504361684,187.1998720852206
1,"cold",5830,0,0.0,7.582332761578053,2.0,3632.0,8.0,10.0,16.0,590.0212529096245,193.02453098117599,112.93375543973282
1,"warm",5830,0,0.0,4.560034305317326,2.0,70.0,6.0,9.0,13.0,975.7322175732218,319.20927039748955,186.76124476987448
1,"cold",5830,0,0.0,5.003259005145788,2.0,82.0,8.0,10.0,15.0,906.264573293953,296.48303911472095,173.4647034820457
2,"warm",5830,0,0.0,4.612692967409954,2.0,64.0,7.0,9.0,13.0,975.8955473719451,319.2627034859391,186.79250711416137
2,"cold",5830,3,0.051457975,8.469468267581492,2.0,4855.0,7.0,10.0,16.0,556.775857129214,182.1077820587814,106.57037890363863
2,"warm",5830,0,0.0,4.788850771869682,2.0,74.0,7.0,10.0,14.0,941.8416801292408,308.12203402665585,180.27438408723748
2,"cold",5830,0,0.0,9.526758147512808,2.0,6051.0,7.0,10.0,16.0,496.25468164794006,162.34894370318352,94.98624765917603
2,"warm",5830,0,0.0,4.5542024013722076,2.0,66.0,6.0,9.0,13.0,985.4631507775524,322.3927299907032,188.62380620351587
2,"cold",5830,0,0.0,5.193825042881621,2.0,92.0,8.0,11.0,16.0,884.0030326004548,289.20021086050036,169.20370545868082
3,"warm",5830,0,0.0,4.6535162950257325,2.0,66.0,7.0,9.0,14.0,957.6215505913273,313.2843939922799,183.29474991787123
3,"cold",5830,0,0.0,9.039965694682664,2.0,5389.0,8.0,10.0,14.0,521.7936095945583,170.70396407634476,99.87455808645842
3,"warm",5830,0,0.0,4.866552315608911,2.0,84.0,7.0,10.0,15.0,942.1460892049128,308.22162098012285,180.33264988687785
3,"cold",5830,0,0.0,5.037907375643249,2.0,298.0,7.0,10.0,16.0,915.2276295133438,299.4152889521193,175.18028846153845
3,"warm",5830,0,0.0,4.591080617495719,2.0,68.0,7.0,9.0,14.0,976.5494137353435,319.47661484505863,186.91766122278057
3,"cold",5830,0,0.0,4.367409948542029,2.0,78.0,6.0,8.0,13.0,1019.2307692307692,333.4397536057692,195.08713942307693
4,"warm",5830,0,0.0,4.534476843910814,2.0,74.0,7.0,9.0,13.0,985.9631320818535,322.5562980931845,188.71950575004226
4,"cold",5830,0,0.0,8.857975986277872,2.0,4868.0,7.0,10.0,14.0,533.2967435053056,174.46719636159898,102.07632981156239
4,"warm",5830,0,0.0,4.593310463121796,2.0,68.0,7.0,9.0,14.0,973.288814691152,318.40991496243737,186.29356218697828
4,"cold",5830,0,0.0,4.770668953687822,2.0,79.0,7.0,10.0,14.0,956.5217391304349,312.9245923913044,183.08423913043478
4,"warm",5830,0,0.0,4.4819897084047895,2.0,67.0,6.0,8.0,13.0,989.8132427843803,323.8158557937182,189.4564410016978
4,"cold",5830,0,0.0,4.594168096054891,2.0,80.0,7.0,9.0,14.0,973.6138944555778,318.5162642994322,186.35578448563794
5,"warm",5830,0,0.0,4.515094339622655,2.0,84.0,6.0,9.0,14.0,994.8805460750854,325.4736161476109,190.42635452218428
5,"cold",5830,0,0.0,4.5219554030874765,2.0,82.0,6.0,8.0,13.0,989.6452215243592,323.76088790103546,189.42428068239687
5,"warm",5830,0,0.0,4.575300171526564,2.0,70.0,7.0,9.0,15.0,978.1879194630873,320.01264943372485,187.23128145973155
5,"cold",5830,0,0.0,4.360720411663808,2.0,70.0,6.0,8.0,14.0,1023.3456205020186,334.78592076970335,195.8747476742145
5,"warm",5830,0,0.0,4.44699828473413,2.0,70.0,6.0,8.0,13.0,1013.0321459600347,331.4118836880973,193.9006841876629
5,"cold",5830,44,0.754717,12.670154373927941,2.0,8625.0,7.0,10.0,16.0,378.9405264868378,123.56483080110497,72.5315851478713
6,"warm",5830,0,0.0,4.51835334476844,2.0,67.0,6.0,8.0,13.6899999999996,987.1317304436167,322.9386032213004,188.9431827802235
6,"cold",5830,0,0.0,4.91012006861065,2.0,82.0,8.0,10.0,15.0,911.0798562275355,298.0583514025629,174.38637873105174
6,"warm",5830,0,0.0,4.403945111492289,2.0,69.0,6.0,9.0,13.0,1014.0894068533659,331.75776493738044,194.10305053052707
6,"cold",5830,0,0.0,4.427958833619204,2.0,80.0,6.0,9.0,13.0,1010.2235314503552,330.4930498397158,193.36309781666955
6,"warm",5830,0,0.0,4.383361921097777,2.0,70.0,6.0,8.0,13.0,1015.5025256923882,332.2200645575684,194.37353030830866
6,"cold",5830,0,0.0,8.9566037735849,2.0,5436.0,7.0,10.0,15.0,527.0771178012837,172.43245553069343,100.88585457915198
