"runNumber","startTime","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,"warm",5820,0,0.0,12.766666666666667,2.0,118.0,20.0,24.0,36.0,1373.6134057115883,6.585683010421455,449.3754794075997,262.9181909369837
1,"cold",5820,0,0.0,46.71134020618549,2.0,14008.0,11.0,13.0,21.0,373.38807981009813,685.6038412177616,122.15332689099891,71.4688121511516
1,"warm",5820,0,0.0,13.285395189003447,2.0,93.0,21.0,25.0,34.789999999999964,1308.7474702046325,6.484676752266267,428.1546899595233,250.5024454688554
1,"cold",5820,0,0.0,14.433333333333323,2.0,111.0,23.0,26.0,36.0,1215.79277209108,6.890660726460038,397.74470571339043,232.7103352830583
1,"warm",5820,0,0.0,13.036941580756011,2.0,81.0,20.0,25.0,36.0,1321.2258796821793,6.529048046214801,432.23698212258796,252.89089103291712
1,"cold",5820,0,0.0,13.011683848797265,2.0,113.0,20.0,23.0,34.0,1339.779005524862,6.570767037685184,438.3066082527624,256.4420752762431
2,"warm",5820,0,0.0,12.927835051546364,2.0,85.0,20.0,24.0,36.0,1333.6388634280477,6.491811314806067,436.2978703597617,255.26681370302475
2,"cold",5820,0,0.0,44.56065292096231,2.0,13049.0,13.0,16.0,25.789999999999964,392.0511956887841,631.0568354816367,128.25893608959245,75.04104917480633
2,"warm",5820,0,0.0,13.394673539518895,2.0,92.0,21.0,26.0,37.0,1311.9927862939585,6.8331756813129525,429.2163900473399,251.123619251578
2,"cold",5820,0,0.0,15.153780068728498,2.0,111.0,24.0,28.0,37.0,1184.8534201954396,7.158017685902818,387.62294508346906,226.78834995928338
2,"warm",5820,0,0.0,13.13986254295529,2.0,82.0,21.0,24.0,35.0,1338.2386755575994,6.770006432219234,437.8026917107381,256.14724649344674
2,"cold",5820,0,0.0,12.952405498281797,2.0,95.0,20.0,24.0,33.789999999999964,1332.7226929242042,6.1368342726259035,435.99814661094575,255.09145294252346
3,"warm",5820,0,0.0,13.04347079037802,2.0,93.0,20.0,24.0,32.0,1345.9759481961146,6.196945318069145,440.3339283649399,257.6282088344126
3,"cold",5820,0,0.0,14.343298969072142,3.0,129.0,22.0,29.0,53.789999999999964,1243.8555246847618,9.517849735895393,406.9253913763624,238.08172152169266
3,"warm",5820,0,0.0,13.612027491408952,2.0,99.0,21.0,26.0,35.0,1289.8936170212767,6.606146248377955,421.98668134973406,246.89370013297875
