"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,4.343399999999933,3.0,67.0,5.0,5.0,11.0,226.38043555595803,51.731466718841965,42.88848095493736
2,35000,0,0.0,4.298914285714302,3.0,1047.0,5.0,5.0,11.9900000000016,229.45703908636764,52.43451869747073,43.4713531081595
3,35000,0,0.0,4.227685714285762,3.0,70.0,5.0,5.0,12.0,233.5949596881841,53.3800982099952,44.255295097175505
4,35000,0,0.0,4.18482857142853,3.0,82.0,5.0,5.0,11.0,235.93172809879474,53.91408630382613,44.69800317496696
5,35000,0,0.0,4.216371428571432,3.0,70.0,5.0,5.0,12.0,233.4313745106278,53.34271644090518,44.22430337408378
6,35000,0,0.0,4.259942857142881,3.0,81.0,5.0,5.0,11.0,231.6776106757043,52.94195400206524,43.89204733504554
