"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",311.0
"k8s",2,"resTime",315.0
"k8s",3,"resTime",322.0
"k8s",4,"resTime",327.0
"k8s",5,"resTime",319.0
"k8s",6,"resTime",312.0
"nomad",1,"resTime",101
"nomad",2,"resTime",313.0
"nomad",3,"resTime",232
"nomad",4,"resTime",88
"nomad",5,"resTime",157.0
"nomad",6,"resTime",79
"swarm",1,"resTime",287.0
"swarm",2,"resTime",292.0
"swarm",3,"resTime",296.0
"swarm",4,"resTime",273.0
"swarm",5,"resTime",273.0
"swarm",6,"resTime",284.0
"k8s",1,"throughput",60.10007521095127
"k8s",2,"throughput",59.49446701456765
"k8s",3,"throughput",58.00339071249708
"k8s",4,"throughput",57.48608426145985
"k8s",5,"throughput",58.442014094249025
"k8s",6,"throughput",59.848293126680026
"nomad",1,"throughput",120.13075268817204
"nomad",2,"throughput",63.21192429739946
"nomad",3,"throughput",87.8643183826139
"nomad",4,"throughput",108.42531915480272
"nomad",5,"throughput",104.65430077541694
"nomad",6,"throughput",60.34865371338397
"swarm",1,"throughput",64.82069669284805
"swarm",2,"throughput",63.975433433561506
"swarm",3,"throughput",63.04295747122089
"swarm",4,"throughput",68.7167827980296
"swarm",5,"throughput",68.40680549990716
"swarm",6,"throughput",65.84033905893462
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.057142857
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.24857143
"nomad",2,"errorPct",0.0
"nomad",3,"errorPct",0.2657143
"nomad",4,"errorPct",66.29429
"nomad",5,"errorPct",0.28
"nomad",6,"errorPct",86.01428
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
