"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,3294,9.411428,8.396685714285768,2.0,62.0,12.0,14.0,19.0,586.8446203115307,4.060010201344299,149.31377167133348,112.32572810650392
2,35000,3202,9.148571,7.482114285714275,2.0,210.0,11.0,13.0,18.0,657.4004507888806,3.5476164598840305,167.36351603587528,125.83055503380916
3,35000,3233,9.237143,7.566685714285719,2.0,948.0,11.0,12.0,16.0,651.0658878678522,11.61477539116232,165.7181765388407,124.61808009970608
4,35000,3263,9.322857,7.534228571428581,2.0,207.0,11.0,13.0,17.0,652.2792500652279,3.120122384665264,165.99535047197062,124.85032520779752
5,35000,3381,9.66,7.559257142857153,2.0,70.0,11.0,13.0,17.0,652.4616445761797,3.111401987657852,165.91717319827376,124.88523665715937
6,35000,3210,9.171429,7.5157142857143056,2.0,1008.0,11.0,13.0,17.0,648.376280543154,6.083186106676256,165.05771417257924,124.10327244771308
