"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,3820,10.914286,6.666599999999988,1.0,378.0,10.0,12.0,18.0,147.53614635585717,5.071174201047038,32.675160478491335,27.951183977574505
2,35000,5618,16.051428,6.436942857142819,1.0,1120.0,9.0,11.0,17.0,152.75171300135295,7.539086096006365,33.32449527151617,28.939289377209445
3,35000,19014,54.325714,4.424742857142841,1.0,1016.0,7.0,7.0,12.0,221.08521255764006,7.897359669038501,42.77891528093614,41.88528441033415
4,35000,25535,72.957146,3.9786857142857217,1.0,1037.0,3.0,6.0,12.0,245.72957109658577,17.0905188296876,44.57046937200298,46.554235149157854
5,35000,23854,68.15429,3.8796000000000292,1.0,1023.0,3.0,6.0,10.0,251.979841612671,12.352305989297538,46.494506220752335,47.738368430525554
6,35000,20103,57.43714,4.451371428571441,1.0,534.0,7.0,9.0,15.0,220.1493241415749,11.462107278300827,42.14623060130643,41.7079774252593
