"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,269,0.76857144,15.29019999999993,3.0,229.0,25.0,30.0,44.0,643.4769819091043,201.79276565257757,123.16551606853949
2,35000,13042,37.262856,11.878999999999925,0.0,1007.0,23.0,28.0,42.0,817.0697544121766,211.37421284083482,156.39225768045569
3,35000,14286,40.817142,10.427828571428584,0.0,1016.0,18.0,22.0,36.0,910.7705118530278,230.54071713419552,174.32716828436855
4,35000,28944,82.69714,11.572142857142838,0.0,2009.0,9.0,13.0,1002.0,716.3177176070895,136.1608056527701,137.107688135732
5,35000,0,0.0,14.953657142857175,3.0,67.0,22.0,25.0,32.0,657.7587340963335,206.83428943263613,125.89913269812634
6,35000,0,0.0,15.313514285714115,3.0,212.0,23.0,25.0,33.0,644.9829540219293,202.81690546392701,123.45376854325993
