"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,3.660542857142879,2.0,495.0,4.0,5.0,8.0,269.5833012400832,2.9057792327835426,66.07950059693445,52.126458638219205
2,35000,0,0.0,3.7239428571428426,2.0,395.0,4.0,5.0,8.0,265.2881787587545,2.8153896573990673,65.02669225434315,51.29595643968105
3,35000,0,0.0,3.63554285714287,2.0,267.0,4.0,5.0,8.0,271.72014377877326,1.8952465097489637,66.60327743014851,52.53963717597373
4,35000,0,0.0,3.767142857142869,2.0,178.0,4.0,5.0,9.0,262.0859042712514,1.5984167990499472,64.24175973836338,50.676766646199
5,35000,0,0.0,3.6707428571428733,2.0,74.0,4.0,5.0,8.0,268.9907467183129,1.250476530621917,65.93425529911771,52.011882666236275
6,35000,0,0.0,3.7071428571428653,2.0,69.0,4.0,5.0,8.0,266.1576718047772,1.2323465765278738,65.23981994433503,51.46408107162683
