"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,23.35185714285684,3.0,799.0,31.0,44.0,78.0,423.8109076818754,17.146901340651528,105.95272692046885,80.2923008694178
2,35000,0,0.0,23.987342857142693,3.0,295.0,29.0,34.0,52.0,413.3012139247083,11.303194434811205,103.32530348117709,78.3012065443295
3,35000,0,0.0,23.32357142857148,3.0,153.0,27.0,33.0,54.0,424.8036800135937,10.926531200517005,106.20092000339842,80.48038469007537
4,35000,0,0.0,21.988485714285698,4.0,710.0,28.0,33.0,51.0,450.4272624317924,13.274713424681169,112.60681560794812,85.33485245289819
5,35000,0,0.0,21.539314285714365,4.0,706.0,27.0,32.0,47.0,458.3311508040438,13.004648646244343,114.58278770101094,86.83226880467235
6,35000,0,0.0,25.47662857142875,4.0,1085.0,42.0,62.0,102.0,388.99694359544316,27.08084418091925,97.2492358988608,73.69668657960545
