"startTime","framework","runNumber","caseNumber","factor","factorValue"
"warm_0","swarm","1","replica1","throughput",1373.289287399717
"cold_0","swarm","1","replica1","throughput",422.2754664924127
"warm_1","swarm","1","replica1","throughput",1718.3348095659876
"cold_1","swarm","1","replica1","throughput",1412.621359223301
"warm_2","swarm","1","replica1","throughput",1595.8321908417877
"cold_2","swarm","1","replica1","throughput",1773.308957952468
"warm_0","swarm","2","replica1","throughput",1669.5352839931154
"cold_0","swarm","2","replica1","throughput",1504.6535677352638
"warm_1","swarm","2","replica1","throughput",1712.2683142100618
"cold_1","swarm","2","replica1","throughput",1736.276849642005
"warm_2","swarm","2","replica1","throughput",1670.4936854190585
"cold_2","swarm","2","replica1","throughput",1423.679060665362
"warm_0","swarm","3","replica1","throughput",1600.6600660066006
"cold_0","swarm","3","replica1","throughput",1552.4139770605495
"warm_1","swarm","3","replica1","throughput",1552.8281750266808
"cold_1","swarm","3","replica1","throughput",1469.6969696969697
"warm_2","swarm","3","replica1","throughput",1665.7126502575845
"cold_2","swarm","3","replica1","throughput",1503.4874709377423
"warm_0","swarm","4","replica1","throughput",1651.063829787234
"cold_0","swarm","4","replica1","throughput",1502.7110766847404
"warm_1","swarm","4","replica1","throughput",1627.0617836175566
"cold_1","swarm","4","replica1","throughput",1492.3076923076924
"warm_2","swarm","4","replica1","throughput",1605.5172413793102
"cold_2","swarm","4","replica1","throughput",1539.2753239883627
"warm_0","swarm","5","replica1","throughput",1707.7464788732395
"cold_0","swarm","5","replica1","throughput",1483.5585011470812
"warm_1","swarm","5","replica1","throughput",1385.7142857142856
"cold_1","swarm","5","replica1","throughput",1567.465661190412
"warm_2","swarm","5","replica1","throughput",1696.2984552608568
"cold_2","swarm","5","replica1","throughput",1550.3462972828981
"warm_0","swarm","6","replica1","throughput",1463.4146341463415
"cold_0","swarm","6","replica1","throughput",1481.6700610997964
"warm_1","swarm","6","replica1","throughput",1801.8575851393189
"cold_1","swarm","6","replica1","throughput",1576.8084529937687
"warm_2","swarm","6","replica1","throughput",1554.4871794871797
"cold_2","swarm","6","replica1","throughput",1591.4684167350288
"warm_0","k8s","1","replica1","errorPct",0.0
"cold_0","k8s","1","replica1","errorPct",0.0
"warm_1","k8s","1","replica1","errorPct",0.0
"cold_1","k8s","1","replica1","errorPct",0.0
"warm_2","k8s","1","replica1","errorPct",0.0
"cold_2","k8s","1","replica1","errorPct",0.34364262
"warm_0","k8s","2","replica1","errorPct",0.0
"cold_0","k8s","2","replica1","errorPct",0.0
"warm_1","k8s","2","replica1","errorPct",0.0
"cold_1","k8s","2","replica1","errorPct",0.0
"warm_2","k8s","2","replica1","errorPct",0.0
"cold_2","k8s","2","replica1","errorPct",0.0
"warm_0","k8s","3","replica1","errorPct",0.0
"cold_0","k8s","3","replica1","errorPct",0.0
"warm_1","k8s","3","replica1","errorPct",0.0
"cold_1","k8s","3","replica1","errorPct",0.0
"warm_2","k8s","3","replica1","errorPct",0.0
"cold_2","k8s","3","replica1","errorPct",0.0
"warm_0","k8s","4","replica1","errorPct",0.0
"cold_0","k8s","4","replica1","errorPct",0.0
"warm_1","k8s","4","replica1","errorPct",0.0
"cold_1","k8s","4","replica1","errorPct",0.0
"warm_2","k8s","4","replica1","errorPct",0.0
"cold_2","k8s","4","replica1","errorPct",0.0
"warm_0","k8s","5","replica1","errorPct",0.0
"cold_0","k8s","5","replica1","errorPct",0.01718213
"warm_1","k8s","5","replica1","errorPct",0.0
"cold_1","k8s","5","replica1","errorPct",0.0
"warm_2","k8s","5","replica1","errorPct",0.0
"cold_2","k8s","5","replica1","errorPct",0.0
"warm_0","k8s","6","replica1","errorPct",0.0
"cold_0","k8s","6","replica1","errorPct",0.0
"warm_1","k8s","6","replica1","errorPct",0.0
"cold_1","k8s","6","replica1","errorPct",0.0
"warm_2","k8s","6","replica1","errorPct",0.0
"cold_2","k8s","6","replica1","errorPct",0.0
"warm_0","swarm","1","replica1","errorPct",0.0
"cold_0","swarm","1","replica1","errorPct",0.06872852
"warm_1","swarm","1","replica1","errorPct",0.0
"cold_1","swarm","1","replica1","errorPct",0.0
"warm_2","swarm","1","replica1","errorPct",0.0
"cold_2","swarm","1","replica1","errorPct",0.0
"warm_0","swarm","2","replica1","errorPct",0.0
"cold_0","swarm","2","replica1","errorPct",0.0
"warm_1","swarm","2","replica1","errorPct",0.0
"cold_1","swarm","2","replica1","errorPct",0.0
"warm_2","swarm","2","replica1","errorPct",0.0
"cold_2","swarm","2","replica1","errorPct",0.0
"warm_0","swarm","3","replica1","errorPct",0.0
"cold_0","swarm","3","replica1","errorPct",0.0
"warm_1","swarm","3","replica1","errorPct",0.0
"cold_1","swarm","3","replica1","errorPct",0.0
"warm_2","swarm","3","replica1","errorPct",0.0
"cold_2","swarm","3","replica1","errorPct",0.0
