"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",23.0
"k8s",2,"resTime",23.0
"k8s",3,"resTime",23.0
"k8s",4,"resTime",23.0
"k8s",5,"resTime",23.0
"k8s",6,"resTime",24.0
"nomad",1,"resTime",32
"nomad",2,"resTime",31.0
"nomad",3,"resTime",32
"nomad",4,"resTime",34.0
"nomad",5,"resTime",24.0
"nomad",6,"resTime",33.0
"swarm",1,"resTime",11.0
"swarm",2,"resTime",11.0
"swarm",3,"resTime",12.0
"swarm",4,"resTime",11.0
"swarm",5,"resTime",12.0
"swarm",6,"resTime",11.0
"k8s",1,"throughput",773.3268521178109
"k8s",2,"throughput",783.418390187125
"k8s",3,"throughput",762.8263807157491
"k8s",4,"throughput",757.7397705130982
"k8s",5,"throughput",791.0855954614289
"k8s",6,"throughput",765.0942158877278
"nomad",1,"throughput",561.2267994567678
"nomad",2,"throughput",563.5263330062153
"nomad",3,"throughput",556.1561657898113
"nomad",4,"throughput",429.5017509369048
"nomad",5,"throughput",68.87665456249267
"nomad",6,"throughput",547.9256985538433
"swarm",1,"throughput",1595.2597994530538
"swarm",2,"throughput",1588.9590048576747
"swarm",3,"throughput",1524.3238534907018
"swarm",4,"throughput",1614.5400867238675
"swarm",5,"throughput",1570.9861304367341
"swarm",6,"throughput",1654.5334215751159
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.82
"nomad",2,"errorPct",1.56
"nomad",3,"errorPct",0.9342857
"nomad",4,"errorPct",60.05143
"nomad",5,"errorPct",91.6
"nomad",6,"errorPct",1.0571429
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
