"framework","runNumber","caseNumber","factor","factorValue"
"nomad","3","user_20","errorPct",0.9342857
"nomad","4","user_20","errorPct",60.05143
"nomad","5","user_20","errorPct",91.6
"nomad","6","user_20","errorPct",1.0571429
"swarm","1","user_20","errorPct",0.0
"swarm","2","user_20","errorPct",0.0
"swarm","3","user_20","errorPct",0.0
"swarm","4","user_20","errorPct",0.0
"swarm","5","user_20","errorPct",0.0
"swarm","6","user_20","errorPct",0.0
"k8s","1","user_50","resTime",60.0
"k8s","2","user_50","resTime",60.0
"k8s","3","user_50","resTime",58.0
"k8s","4","user_50","resTime",60.0
"k8s","5","user_50","resTime",59
"k8s","6","user_50","resTime",55.0
"nomad","1","user_50","resTime",55.0
"nomad","2","user_50","resTime",84.0
"nomad","3","user_50","resTime",86.0
"nomad","4","user_50","resTime",87.0
"nomad","5","user_50","resTime",79
"nomad","6","user_50","resTime",89
"swarm","1","user_50","resTime",29.0
"swarm","2","user_50","resTime",29.0
"swarm","3","user_50","resTime",30.0
"swarm","4","user_50","resTime",29.0
"swarm","5","user_50","resTime",30.0
"swarm","6","user_50","resTime",41.0
"k8s","1","user_50","throughput",742.9420505200594
"k8s","2","user_50","throughput",734.1373885684321
"k8s","3","user_50","throughput",791.6760913820402
"k8s","4","user_50","throughput",782.2103028271316
"k8s","5","user_50","throughput",523.6595047571042
"k8s","6","user_50","throughput",733.8757024238867
"nomad","1","user_50","throughput",527.9791726580593
"nomad","2","user_50","throughput",566.0499417777203
"nomad","3","user_50","throughput",577.3100649886188
"nomad","4","user_50","throughput",562.5562556255626
"nomad","5","user_50","throughput",535.7589803012746
"nomad","6","user_50","throughput",450.28751325130906
"swarm","1","user_50","throughput",1559.158945117605
"swarm","2","user_50","throughput",1575.9376829213381
"swarm","3","user_50","throughput",1591.777333090777
"swarm","4","user_50","throughput",1607.052665411635
"swarm","5","user_50","throughput",1585.0731398034509
"swarm","6","user_50","throughput",657.5746406192408
"k8s","1","user_50","errorPct",0.0
"k8s","2","user_50","errorPct",0.0
"k8s","3","user_50","errorPct",0.0
"k8s","4","user_50","errorPct",0.0
"k8s","5","user_50","errorPct",76.25429
"k8s","6","user_50","errorPct",0.0
"nomad","1","user_50","errorPct",0.33714285
"nomad","2","user_50","errorPct",0.0
"nomad","3","user_50","errorPct",0.0
"nomad","4","user_50","errorPct",0.0
"nomad","5","user_50","errorPct",0.92285717
"nomad","6","user_50","errorPct",59.951427
"swarm","1","user_50","errorPct",0.0
"swarm","2","user_50","errorPct",0.0
"swarm","3","user_50","errorPct",0.0
"swarm","4","user_50","errorPct",0.0
"swarm","5","user_50","errorPct",0.0
"swarm","6","user_50","errorPct",3.1542857
