"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,147.93005714285658,13.0,1132.0,259.0,305.9500000000007,402.0,67.35471107715578,62.64219849926488,13.767673169563562
2,35000,0,0.0,155.7309714285729,10.0,1327.0,270.0,317.0,417.0,63.92985981095027,59.53889339981277,13.068005388373898
3,35000,0,0.0,144.8099999999997,9.0,1413.0,273.0,334.0,481.0,68.84288872628855,64.09210705216718,14.072091520105074
4,35000,0,0.0,148.6389142857151,10.0,1273.0,273.0,329.0,465.0,67.0010337302347,62.39797110999177,13.695717945987596
5,35000,0,0.0,144.0074285714276,13.0,2239.0,260.0,328.0,514.9900000000016,69.07903826189245,64.33168543848413,14.120593852138292
6,35000,0,0.0,83.54862857142803,8.0,1147.0,126.0,155.0,321.9400000000096,118.48622005260788,110.26451281640054,24.21961484361512
