"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",11.0
"k8s",2,"resTime",10.0
"k8s",3,"resTime",10.0
"k8s",4,"resTime",11.0
"k8s",5,"resTime",10.0
"k8s",6,"resTime",11.0
"nomad",1,"resTime",13.0
"nomad",2,"resTime",14
"nomad",3,"resTime",15.0
"nomad",4,"resTime",15.0
"nomad",5,"resTime",15
"nomad",6,"resTime",13.0
"swarm",1,"resTime",8.0
"swarm",2,"resTime",8.0
"swarm",3,"resTime",8.0
"swarm",4,"resTime",8.0
"swarm",5,"resTime",8.0
"swarm",6,"resTime",8.0
"k8s",1,"throughput",400.9393436050175
"k8s",2,"throughput",408.92627643416284
"k8s",3,"throughput",421.16409756567157
"k8s",4,"throughput",409.77848545871774
"k8s",5,"throughput",414.02969184361507
"k8s",6,"throughput",386.1685460202573
"nomad",1,"throughput",262.54779754915245
"nomad",2,"throughput",213.61039139312615
"nomad",3,"throughput",181.80246379943807
"nomad",4,"throughput",171.89409368635438
"nomad",5,"throughput",172.23835573264898
"nomad",6,"throughput",261.2342149154158
"swarm",1,"throughput",505.1534486243035
"swarm",2,"throughput",535.0618378609756
"swarm",3,"throughput",529.8374156044688
"swarm",4,"throughput",542.4422299025155
"swarm",5,"throughput",547.6108520824858
"swarm",6,"throughput",535.7990294383296
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",50.17143
"nomad",2,"errorPct",64.43143
"nomad",3,"errorPct",75.96571
"nomad",4,"errorPct",75.88571
"nomad",5,"errorPct",78.14
"nomad",6,"errorPct",53.01143
"swarm",1,"errorPct",0.017142856
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
