"framework","runNumber","caseNumber","factor","factorValue"
"nomad","4","user_20","errorPct",79.917145
"nomad","5","user_20","errorPct",79.96286
"nomad","6","user_20","errorPct",76.17714
"swarm","1","user_20","errorPct",0.0
"swarm","2","user_20","errorPct",0.0
"swarm","3","user_20","errorPct",0.0
"swarm","4","user_20","errorPct",0.0
"swarm","5","user_20","errorPct",0.0
"swarm","6","user_20","errorPct",0.0
"k8s","1","user_50","resTime",113.0
"k8s","2","user_50","resTime",122.0
"k8s","3","user_50","resTime",118.0
"k8s","4","user_50","resTime",115.0
"k8s","5","user_50","resTime",113.0
"k8s","6","user_50","resTime",114.0
"nomad","1","user_50","resTime",152.0
"nomad","2","user_50","resTime",155
"nomad","3","user_50","resTime",143.0
"nomad","4","user_50","resTime",136.0
"nomad","5","user_50","resTime",150.0
"nomad","6","user_50","resTime",152.0
"swarm","1","user_50","resTime",68.0
"swarm","2","user_50","resTime",68.0
"swarm","3","user_50","resTime",106.0
"swarm","4","user_50","resTime",109.0
"swarm","5","user_50","resTime",108.0
"swarm","6","user_50","resTime",107.0
"k8s","1","user_50","throughput",399.57987030779066
"k8s","2","user_50","throughput",362.87103563393566
"k8s","3","user_50","throughput",374.82864976010967
"k8s","4","user_50","throughput",383.0620888922939
"k8s","5","user_50","throughput",383.9192672626556
"k8s","6","user_50","throughput",374.2875169766124
"nomad","1","user_50","throughput",209.80748274609516
"nomad","2","user_50","throughput",201.90392425692633
"nomad","3","user_50","throughput",296.86552072800805
"nomad","4","user_50","throughput",307.3542108154776
"nomad","5","user_50","throughput",126.84778266080703
"nomad","6","user_50","throughput",126.48814600034112
"swarm","1","user_50","throughput",570.7204122232006
"swarm","2","user_50","throughput",575.3929111593345
"swarm","3","user_50","throughput",241.2972650323736
"swarm","4","user_50","throughput",413.8632359375185
"swarm","5","user_50","throughput",415.34152940618026
"swarm","6","user_50","throughput",419.8203169043649
"k8s","1","user_50","errorPct",0.0
"k8s","2","user_50","errorPct",0.0
"k8s","3","user_50","errorPct",0.0
"k8s","4","user_50","errorPct",0.0
"k8s","5","user_50","errorPct",0.0
"k8s","6","user_50","errorPct",0.0
"nomad","1","user_50","errorPct",75.24571
"nomad","2","user_50","errorPct",77.7
"nomad","3","user_50","errorPct",53.862858
"nomad","4","user_50","errorPct",66.43429
"nomad","5","user_50","errorPct",78.22857
"nomad","6","user_50","errorPct",78.81143
"swarm","1","user_50","errorPct",0.0
"swarm","2","user_50","errorPct",0.0
"swarm","3","user_50","errorPct",16.84
"swarm","4","user_50","errorPct",0.0
"swarm","5","user_50","errorPct",0.0
"swarm","6","user_50","errorPct",0.0
