"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,662.5533428571363,66.0,2724.0,737.0,774.0,1002.9900000000016,30.118978570777017,9.471006933388868,5.735547677052264
2,35000,0,0.0,657.1967714285705,55.0,1424.0,729.0,755.0,864.0,30.381918071251675,9.553689080999062,5.785619163959059
3,35000,0,0.0,660.2653428571456,69.0,2769.0,734.0,767.0,962.9900000000016,30.233636907841827,9.5070616057862,5.757382028348785
4,35000,0,0.0,658.1150857142852,95.0,2336.0,732.0,766.0,933.0,30.34414596401184,9.541811523839662,5.778426233381162
5,35000,0,0.0,657.7829142857149,55.0,2478.0,732.0,763.0,946.9900000000016,30.347119017932545,9.542746409935821,5.778992391110203
6,35000,0,0.0,658.3402857142852,57.0,2297.0,731.0,759.0,867.0,30.325584135733852,9.535974698931932,5.774891510222754
