"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",54.0
"k8s",2,"resTime",54.0
"k8s",3,"resTime",54.0
"k8s",4,"resTime",54.0
"k8s",5,"resTime",54.0
"k8s",6,"resTime",54.0
"nomad",1,"resTime",54.0
"nomad",2,"resTime",54.0
"nomad",3,"resTime",54.0
"nomad",4,"resTime",54.0
"nomad",5,"resTime",55.0
"nomad",6,"resTime",54.0
"swarm",1,"resTime",53.0
"swarm",2,"resTime",53.0
"swarm",3,"resTime",53.0
"swarm",4,"resTime",53.0
"swarm",5,"resTime",53.0
"swarm",6,"resTime",53.0
"k8s",1,"throughput",14.868618760543443
"k8s",2,"throughput",15.095452861429349
"k8s",3,"throughput",14.726530433637414
"k8s",4,"throughput",15.606710885680842
"k8s",5,"throughput",15.733639375095807
"k8s",6,"throughput",15.230999871624428
"nomad",1,"throughput",16.176174251597743
"nomad",2,"throughput",16.578657678192148
"nomad",3,"throughput",16.2596867083565
"nomad",4,"throughput",16.4548303154391
"nomad",5,"throughput",15.666270832223638
"nomad",6,"throughput",15.110474840195936
"swarm",1,"throughput",17.048761894555845
"swarm",2,"throughput",17.285341980613747
"swarm",3,"throughput",17.276434301916055
"swarm",4,"throughput",17.00135039297407
"swarm",5,"throughput",17.3935773966983
"swarm",6,"throughput",17.219672344074638
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.0
"nomad",2,"errorPct",0.0
"nomad",3,"errorPct",0.0
"nomad",4,"errorPct",0.0
"nomad",5,"errorPct",0.0
"nomad",6,"errorPct",0.0
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
