"runNumber","startTime","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,"warm",5820,0,0.0,12.56993127147766,2.0,131.0,21.0,25.0,41.0,1068.2819383259912,7.589739661588798,326.5353971640969,204.47583975770922
1,"cold",5820,0,0.0,22.877835051546317,1.0,5102.0,20.0,23.0,31.789999999999964,621.9942289195255,239.58332468914637,190.12128286309715,119.05358287912793
1,"warm",5820,0,0.0,9.210652920962223,1.0,100.0,16.0,20.0,31.0,1404.1013268998795,5.953386837252806,429.1833157418577,268.75376960193006
1,"cold",5820,0,0.0,38.58041237113407,1.0,10669.0,20.0,24.0,42.789999999999964,377.5788244453094,521.5277182618879,115.4122773939276,72.27094686648502
1,"warm",5820,0,0.0,11.050515463917549,2.0,88.0,18.0,23.0,36.0,1202.72783632982,6.708820637927592,367.6306765344079,230.20962492250462
1,"cold",5820,0,0.0,27.95773195876292,2.0,5465.0,25.0,31.0,48.0,515.3634995129727,258.4847080983405,157.528100925352,98.64379482865492
2,"warm",5820,0,0.0,9.714948453608232,2.0,93.0,16.0,19.0,28.0,1325.740318906606,5.516151345989071,405.23117169703875,253.75498291571756
2,"cold",5820,0,0.0,36.39518900343658,2.0,10004.0,19.0,24.0,40.0,399.04010970174835,486.5535202569822,121.97222103188206,76.37877099760027
2,"warm",5820,0,0.0,10.78453608247418,2.0,94.0,17.0,21.949999999999818,31.0,1214.017521902378,6.2161585367781855,371.0815276908636,232.37054130162704
2,"cold",5820,0,0.0,38.05378006872873,2.0,10874.0,18.0,22.0,39.789999999999964,382.9451243584682,533.419309918237,117.0525624259771,73.29809020923805
2,"warm",5820,0,0.0,10.218728522336772,2.0,106.0,17.0,20.0,30.0,1265.7677250978688,6.246147581791412,386.89970503479776,242.27585363201393
2,"cold",5820,0,0.0,30.204982817869592,2.0,6004.0,25.0,31.0,50.0,477.08828592507587,286.98834428157477,145.82874364702025,91.31767972784655
3,"warm",5820,0,0.0,11.713917525773187,2.0,93.0,19.0,23.0,33.0,1108.7826252619545,6.272834864727947,338.9150016669842,212.22792436654603
3,"cold",5820,0,0.0,28.68161512027484,2.0,5654.0,25.0,31.0,45.0,501.29198966408273,267.02866151777454,153.22694605943153,95.95041989664084
3,"warm",5820,0,0.0,12.940378006872894,2.0,97.0,20.0,24.0,34.0,1033.5641981885988,6.874720524787249,315.92343167288226,197.8306473095365
3,"cold",5820,0,0.0,30.082989690721632,1.0,5782.0,25.0,31.0,51.0,480.3962030540652,277.7244610274019,146.8398550350805,91.95083574081717
3,"warm",5820,0,0.0,13.205841924398648,2.0,93.0,21.0,25.0,36.0,1007.617728531856,7.065614478042479,307.9925283500693,192.86433085180056
3,"cold",5820,0,0.0,27.892268041237156,2.0,5489.0,24.0,29.0,48.0,516.8738898756661,259.780478087435,157.98977297957373,98.93289298401422
4,"warm",5820,0,0.0,11.241580756013734,2.0,87.0,18.0,22.0,31.0,1164.0,6.360136655841901,355.79296875,222.796875
4,"cold",5820,0,0.0,24.297422680412453,2.0,5273.0,20.0,25.0,42.0,585.6309116522439,249.14630669157967,179.00632358120345,112.0934166834373
4,"warm",5820,0,0.0,9.49175257731957,2.0,82.0,16.0,20.0,30.0,1355.0640279394645,5.925536153948987,414.1943757275902,259.36772409778814
4,"cold",5820,1,0.01718213,56.9709621993126,1.0,16906.0,21.0,26.0,52.0,255.86916380902136,828.2773210209971,78.20378273927284,48.9749571353205
4,"warm",5820,0,0.0,10.048281786941583,2.0,107.0,17.0,20.0,28.0,1306.6906151773687,6.017695062158109,399.4083618657387,250.10875056129322
4,"cold",5820,0,0.0,28.158762886597934,2.0,5484.0,25.0,30.0,48.0,511.3336847654191,256.69778152572536,156.29633137849237,97.872463099631
5,"warm",5820,0,0.0,12.606701030927832,1.0,525.0,19.0,24.0,37.0,1065.543756865617,26.855365277916256,325.69843349505675,203.9517347125595
5,"cold",5820,0,0.0,27.51357388316153,1.0,5750.0,24.0,30.0,49.789999999999964,522.0199120997398,275.1401255044399,159.5627270382994,99.91787380034084
5,"warm",5820,0,0.0,11.597079037800667,1.0,105.0,19.0,23.0,34.0,1161.6766467065868,6.442684902373421,355.08280314371257,222.35217065868264
5,"cold",5820,0,0.0,37.6410652920962,2.0,10354.0,19.0,23.0,42.0,386.3259210089612,507.7459313238998,118.08595046465318,73.94519581812148
5,"warm",5820,0,0.0,10.830068728522319,2.0,99.0,17.0,21.0,31.0,1201.2383900928794,6.142420066862763,367.17540634674924,229.92453560371519
5,"cold",5820,0,0.0,27.440893470790318,2.0,5203.0,24.0,29.0,41.0,523.8523852385239,245.3761668391646,160.12284822232223,100.26862061206121
6,"warm",5820,0,0.0,10.295704467353955,1.0,87.0,17.0,21.0,33.0,1284.4846612226881,6.5113763864275835,392.6207997682631,245.85839218715518
6,"cold",5820,0,0.0,23.245360824742257,2.0,5223.0,19.0,22.949999999999818,33.0,614.6372373006653,247.70253130569827,187.8725149170979,117.64540870208047
6,"warm",5820,0,0.0,8.652577319587616,1.0,82.0,15.0,17.949999999999818,24.0,1484.6938775510203,4.981310858507538,453.81756218112247,284.1796875
6,"cold",5820,0,0.0,28.889518900343585,1.0,5800.0,25.0,30.0,49.0,497.7762572699281,272.86946128944385,152.1523130131714,95.27748674307219
6,"warm",5820,0,0.0,12.091065292096227,2.0,89.0,19.0,22.0,31.0,1106.8847470521112,5.651440137763563,338.3348885032332,211.86465861544315
