"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,42.66451428571463,42.0,70.0,43.0,44.0,49.0,23.425097247618,1.408897357455934,6.08503502721327,4.483710020051883
2,35000,0,0.0,42.656428571428656,33.0,73.0,43.0,44.0,49.0,23.432829125801486,1.4998647859610044,6.087043503382026,4.48518994986044
3,35000,0,0.0,42.601971428571304,42.0,76.0,43.0,43.0,49.0,23.454672170696405,1.2700469844039084,6.092717575591058,4.489370845172358
4,35000,0,0.0,42.531114285714516,41.0,74.0,43.0,44.0,49.0,23.43715995192034,1.456534419537127,6.088168503135557,4.486018897047253
5,35000,0,0.0,42.482199999999814,41.0,74.0,43.0,44.0,49.0,23.423419805906853,1.4690042164034385,6.084599285518772,4.483388947224358
6,35000,0,0.0,42.71671428571422,41.0,69.0,43.0,44.0,49.0,23.40434210728684,1.3198264397226969,6.079643555213183,4.479737356472872
