"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,185,0.5285714,10.409999999999917,2.0,81.0,17.0,20.0,30.0,473.254367461734,125.55184839634377,89.65951883552383
2,35000,175,0.5,10.586800000000052,3.0,215.0,16.0,20.0,29.0,465.6484487254537,123.54235405247192,88.21855376243947
3,35000,12098,34.565716,8.12880000000003,0.0,1015.0,14.0,16.0,22.0,605.410641389331,139.5587745623746,114.6969379194631
4,35000,193,0.55142856,10.117685714285733,3.0,111.0,16.0,19.0,27.0,488.28806205443715,129.53323149039468,92.50769925640704
5,35000,60,0.17142858,12.857314285714228,3.0,213.0,23.0,27.0,41.0,385.36494059874707,102.32127324576375,73.008592261872
6,35000,1,0.0028571428,12.502142857142895,3.0,224.0,19.0,24.0,34.0,395.6635277360133,105.09741801286471,74.95969177811189
