"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,156.27279999999985,2.0,682.0,263.0,309.0,396.0,63.270087348874874,74.74841663519216,61.542386749933115,12.760836937280363
2,35000,0,0.0,159.21514285714352,4.0,643.0,261.0,310.0,399.0,62.232621984829464,74.20601949160854,60.51166599118342,12.55148290892167
3,35000,0,0.0,159.8460571428584,2.0,863.0,266.0,314.0,411.9900000000016,61.95984294064955,75.8730155815584,60.24885921971315,12.496608805024767
4,35000,0,0.0,160.06597142857214,3.0,613.0,264.0,311.0,398.0,61.866093492040484,74.64623973556454,60.20802349652135,12.478088976809936
5,35000,0,0.0,150.13242857142853,3.0,608.0,252.0,297.0,383.0,65.99228832973517,71.62020517929706,64.16388580859407,13.309845430741094
6,35000,0,0.0,149.95948571428588,3.0,606.0,255.0,298.0,383.0,66.08461852181925,71.6749810610674,64.24306110030417,13.32824973471746
