"startTime","framework","runNumber","caseNumber","factor","factorValue"
"warm_1","swarm","4","replica1","throughput",335.38408463661455
"cold_1","swarm","4","replica1","throughput",311.4587782998718
"warm_2","swarm","4","replica1","throughput",353.87975489898685
"cold_2","swarm","4","replica1","throughput",313.3662834425701
"warm_0","swarm","5","replica1","throughput",346.74830579003685
"cold_0","swarm","5","replica1","throughput",324.65074859464573
"warm_1","swarm","5","replica1","throughput",344.8418563405262
"cold_1","swarm","5","replica1","throughput",321.7496828286171
"warm_2","swarm","5","replica1","throughput",312.44308747120897
"cold_2","swarm","5","replica1","throughput",317.4076291015944
"warm_0","swarm","6","replica1","throughput",327.5310236397327
"cold_0","swarm","6","replica1","throughput",319.66898668274234
"warm_1","swarm","6","replica1","throughput",343.6229749631811
"cold_1","swarm","6","replica1","throughput",333.60022876751503
"warm_2","swarm","6","replica1","throughput",344.2719707253733
"cold_2","swarm","6","replica1","throughput",210.13004791238876
"warm_0","k8s","1","replica1","errorPct",0.0
"cold_0","k8s","1","replica1","errorPct",0.05143151
"warm_1","k8s","1","replica1","errorPct",0.0
"cold_1","k8s","1","replica1","errorPct",0.0
"warm_2","k8s","1","replica1","errorPct",0.0
"cold_2","k8s","1","replica1","errorPct",0.0
"warm_0","k8s","2","replica1","errorPct",0.0
"cold_0","k8s","2","replica1","errorPct",0.0
"warm_1","k8s","2","replica1","errorPct",0.0
"cold_1","k8s","2","replica1","errorPct",0.0
"warm_2","k8s","2","replica1","errorPct",0.0
"cold_2","k8s","2","replica1","errorPct",0.0
"warm_0","k8s","3","replica1","errorPct",0.0
"cold_0","k8s","3","replica1","errorPct",0.0
"warm_1","k8s","3","replica1","errorPct",0.0
"cold_1","k8s","3","replica1","errorPct",0.0
"warm_2","k8s","3","replica1","errorPct",0.0
"cold_2","k8s","3","replica1","errorPct",0.0
"warm_0","k8s","4","replica1","errorPct",0.0
"cold_0","k8s","4","replica1","errorPct",0.017143836
"warm_1","k8s","4","replica1","errorPct",0.0
"cold_1","k8s","4","replica1","errorPct",0.0
"warm_2","k8s","4","replica1","errorPct",0.0
"cold_2","k8s","4","replica1","errorPct",0.0
"warm_0","k8s","5","replica1","errorPct",0.0
"cold_0","k8s","5","replica1","errorPct",0.017143836
"warm_1","k8s","5","replica1","errorPct",0.0
"cold_1","k8s","5","replica1","errorPct",0.0
"warm_2","k8s","5","replica1","errorPct",0.0
"cold_2","k8s","5","replica1","errorPct",0.0
"warm_0","k8s","6","replica1","errorPct",0.0
"cold_0","k8s","6","replica1","errorPct",0.0
"warm_1","k8s","6","replica1","errorPct",0.0
"cold_1","k8s","6","replica1","errorPct",0.0
"warm_2","k8s","6","replica1","errorPct",0.0
"cold_2","k8s","6","replica1","errorPct",0.0
"warm_0","swarm","1","replica1","errorPct",0.0
"cold_0","swarm","1","replica1","errorPct",0.0
"warm_1","swarm","1","replica1","errorPct",0.0
"cold_1","swarm","1","replica1","errorPct",0.0
"warm_2","swarm","1","replica1","errorPct",0.0
"cold_2","swarm","1","replica1","errorPct",0.0
"warm_0","swarm","2","replica1","errorPct",0.0
"cold_0","swarm","2","replica1","errorPct",0.0
"warm_1","swarm","2","replica1","errorPct",0.0
"cold_1","swarm","2","replica1","errorPct",0.0
"warm_2","swarm","2","replica1","errorPct",0.0
"cold_2","swarm","2","replica1","errorPct",0.0
"warm_0","swarm","3","replica1","errorPct",0.0
"cold_0","swarm","3","replica1","errorPct",0.0
"warm_1","swarm","3","replica1","errorPct",0.0
"cold_1","swarm","3","replica1","errorPct",0.0
"warm_2","swarm","3","replica1","errorPct",0.0
"cold_2","swarm","3","replica1","errorPct",0.017143836
"warm_0","swarm","4","replica1","errorPct",0.0
"cold_0","swarm","4","replica1","errorPct",0.0
"warm_1","swarm","4","replica1","errorPct",0.0
"cold_1","swarm","4","replica1","errorPct",0.0
"warm_2","swarm","4","replica1","errorPct",0.0
"cold_2","swarm","4","replica1","errorPct",0.0
"warm_0","swarm","5","replica1","errorPct",0.0
"cold_0","swarm","5","replica1","errorPct",0.0
"warm_1","swarm","5","replica1","errorPct",0.0
"cold_1","swarm","5","replica1","errorPct",0.0
"warm_2","swarm","5","replica1","errorPct",0.0
"cold_2","swarm","5","replica1","errorPct",0.0
"warm_0","swarm","6","replica1","errorPct",0.0
"cold_0","swarm","6","replica1","errorPct",0.0
"warm_1","swarm","6","replica1","errorPct",0.0
"cold_1","swarm","6","replica1","errorPct",0.0
"warm_2","swarm","6","replica1","errorPct",0.0
"cold_2","swarm","6","replica1","errorPct",0.0
"warm_0","k8s","1","replica10","resTime",3
"cold_0","k8s","1","replica10","resTime",3
"warm_1","k8s","1","replica10","resTime",3
"cold_1","k8s","1","replica10","resTime",3
"warm_2","k8s","1","replica10","resTime",3
"cold_2","k8s","1","replica10","resTime",3
"warm_0","k8s","2","replica10","resTime",3
"cold_0","k8s","2","replica10","resTime",3
"warm_1","k8s","2","replica10","resTime",3
"cold_1","k8s","2","replica10","resTime",3
"warm_2","k8s","2","replica10","resTime",3
"cold_2","k8s","2","replica10","resTime",3
"warm_0","k8s","3","replica10","resTime",3
"cold_0","k8s","3","replica10","resTime",3
"warm_1","k8s","3","replica10","resTime",3
"cold_1","k8s","3","replica10","resTime",3
"warm_2","k8s","3","replica10","resTime",3
"cold_2","k8s","3","replica10","resTime",3
"warm_0","k8s","4","replica10","resTime",3
"cold_0","k8s","4","replica10","resTime",3
"warm_1","k8s","4","replica10","resTime",2
"cold_1","k8s","4","replica10","resTime",3.0
"warm_2","k8s","4","replica10","resTime",3
"cold_2","k8s","4","replica10","resTime",3.0
"warm_0","k8s","5","replica10","resTime",3
"cold_0","k8s","5","replica10","resTime",3
"warm_1","k8s","5","replica10","resTime",3
"cold_1","k8s","5","replica10","resTime",3.0
"warm_2","k8s","5","replica10","resTime",3
"cold_2","k8s","5","replica10","resTime",3
"warm_0","k8s","6","replica10","resTime",3
"cold_0","k8s","6","replica10","resTime",3
"warm_1","k8s","6","replica10","resTime",3
"cold_1","k8s","6","replica10","resTime",3
"warm_2","k8s","6","replica10","resTime",3
"cold_2","k8s","6","replica10","resTime",3
"warm_0","swarm","1","replica10","resTime",3
"cold_0","swarm","1","replica10","resTime",3
"warm_1","swarm","1","replica10","resTime",3
"cold_1","swarm","1","replica10","resTime",3
"warm_2","swarm","1","replica10","resTime",3
"cold_2","swarm","1","replica10","resTime",3
"warm_0","swarm","2","replica10","resTime",3
"cold_0","swarm","2","replica10","resTime",3
"warm_1","swarm","2","replica10","resTime",3
"cold_1","swarm","2","replica10","resTime",3
"warm_2","swarm","2","replica10","resTime",3
"cold_2","swarm","2","replica10","resTime",3
"warm_0","swarm","3","replica10","resTime",3
"cold_0","swarm","3","replica10","resTime",3
"warm_1","swarm","3","replica10","resTime",3
"cold_1","swarm","3","replica10","resTime",3
"warm_2","swarm","3","replica10","resTime",3
"cold_2","swarm","3","replica10","resTime",3
"warm_0","swarm","4","replica10","resTime",3
"cold_0","swarm","4","replica10","resTime",3
"warm_1","swarm","4","replica10","resTime",3
"cold_1","swarm","4","replica10","resTime",3
"warm_2","swarm","4","replica10","resTime",3
"cold_2","swarm","4","replica10","resTime",3
"warm_0","swarm","5","replica10","resTime",3
"cold_0","swarm","5","replica10","resTime",3
"warm_1","swarm","5","replica10","resTime",3
"cold_1","swarm","5","replica10","resTime",3
"warm_2","swarm","5","replica10","resTime",3
"cold_2","swarm","5","replica10","resTime",3
"warm_0","swarm","6","replica10","resTime",3
"cold_0","swarm","6","replica10","resTime",3.0
"warm_1","swarm","6","replica10","resTime",3
"cold_1","swarm","6","replica10","resTime",3
"warm_2","swarm","6","replica10","resTime",3
"cold_2","swarm","6","replica10","resTime",3
"warm_0","k8s","1","replica10","throughput",298.134423715819
"cold_0","k8s","1","replica10","throughput",330.5939696214011
"warm_1","k8s","1","replica10","throughput",358.0065058614129
"cold_1","k8s","1","replica10","throughput",328.6012055658836
"warm_2","k8s","1","replica10","throughput",355.73580533024335
"cold_2","k8s","1","replica10","throughput",308.00506917309116
