"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,34995,0,0.0,14.621203029004167,2.0,166.0,24.0,29.0,44.0,1004.1895032856037,266.7378368102385,190.2468394896554
2,34995,0,0.0,14.008829832833305,2.0,1996.0,21.0,26.0,41.0,1045.1572439745541,277.619892930741,198.00830598736675
3,34995,0,0.0,12.269067009572822,2.0,243.0,20.0,24.0,39.0,1190.3871011633444,316.19657374651337,225.52255627508674
4,34995,0,0.0,12.179511358765632,2.0,139.0,20.0,24.0,39.0,1196.2057767902922,317.74215945992137,226.62492255597334
5,34995,0,0.0,11.704272038862767,1.0,145.0,19.0,24.0,40.0,1248.0830272120975,331.52205410321335,236.45322976479187
6,34995,0,0.0,11.807486783826201,1.0,163.0,19.0,23.0,37.0,1238.1036617725101,328.871285158323,234.56260779674508
