"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,34995,0,0.0,166.142506072297,9.0,4005.0,263.0,303.0,381.0,89.6955809643909,85.42328616513906,18.334584044592763
2,34995,0,0.0,163.75870838691338,10.0,4203.0,261.0,302.0,400.9800000000032,90.80058639612875,86.50668361447698,18.56058886106823
3,34995,0,0.0,162.05423631947514,10.0,1776.0,255.0,293.0,370.0,91.92108366801766,87.54528170614147,18.78950195787049
4,34995,0,0.0,160.90650092870308,9.0,1353.0,253.0,291.0,363.9900000000016,92.60729426334926,88.25424842908971,18.929717932458466
5,34995,30,0.08572653,161.32404629232616,15.0,1639.0,252.0,288.0,364.0,92.4656176925211,87.9117784999934,18.900430336193573
6,34995,0,0.0,160.55322188884185,10.0,4166.0,252.0,289.0,363.0,92.69584795708893,88.22949949506656,18.94814757714721
