"framework","runNumber","caseNumber","factor","factorValue"
"nomad","3","user_20","errorPct",1.8914286
"nomad","4","user_20","errorPct",0.0
"nomad","5","user_20","errorPct",0.0
"nomad","6","user_20","errorPct",0.0
"swarm","1","user_20","errorPct",0.0
"swarm","2","user_20","errorPct",0.0
"swarm","3","user_20","errorPct",0.0
"swarm","4","user_20","errorPct",0.0
"swarm","5","user_20","errorPct",0.0
"swarm","6","user_20","errorPct",0.0
"k8s","1","user_50","resTime",47.0
"k8s","2","user_50","resTime",48.0
"k8s","3","user_50","resTime",48.0
"k8s","4","user_50","resTime",46.0
"k8s","5","user_50","resTime",44.0
"k8s","6","user_50","resTime",47.0
"nomad","1","user_50","resTime",69.0
"nomad","2","user_50","resTime",65.0
"nomad","3","user_50","resTime",52
"nomad","4","user_50","resTime",70.0
"nomad","5","user_50","resTime",70.0
"nomad","6","user_50","resTime",70.0
"swarm","1","user_50","resTime",33.0
"swarm","2","user_50","resTime",34.0
"swarm","3","user_50","resTime",33.0
"swarm","4","user_50","resTime",34.0
"swarm","5","user_50","resTime",33.0
"swarm","6","user_50","resTime",32.0
"k8s","1","user_50","throughput",940.7084878782991
"k8s","2","user_50","throughput",971.277924240322
"k8s","3","user_50","throughput",969.8783495441571
"k8s","4","user_50","throughput",1001.9466391847017
"k8s","5","user_50","throughput",907.9824629672868
"k8s","6","user_50","throughput",969.2874352654462
"nomad","1","user_50","throughput",699.2448155991528
"nomad","2","user_50","throughput",580.2034679122145
"nomad","3","user_50","throughput",689.758676897388
"nomad","4","user_50","throughput",694.1414461941216
"nomad","5","user_50","throughput",692.822360346807
"nomad","6","user_50","throughput",693.330163824013
"swarm","1","user_50","throughput",1384.000949029222
"swarm","2","user_50","throughput",1347.8645973735897
"swarm","3","user_50","throughput",1384.9867436983102
"swarm","4","user_50","throughput",1373.0874852883485
"swarm","5","user_50","throughput",1387.4573852374535
"swarm","6","user_50","throughput",1358.0630141238555
"k8s","1","user_50","errorPct",0.0
"k8s","2","user_50","errorPct",0.0
"k8s","3","user_50","errorPct",0.0
"k8s","4","user_50","errorPct",0.0
"k8s","5","user_50","errorPct",0.0
"k8s","6","user_50","errorPct",0.0
"nomad","1","user_50","errorPct",0.0
"nomad","2","user_50","errorPct",22.274286
"nomad","3","user_50","errorPct",0.86
"nomad","4","user_50","errorPct",0.0
"nomad","5","user_50","errorPct",0.0
"nomad","6","user_50","errorPct",0.0
"swarm","1","user_50","errorPct",0.0
"swarm","2","user_50","errorPct",0.0
"swarm","3","user_50","errorPct",0.0
"swarm","4","user_50","errorPct",0.0
"swarm","5","user_50","errorPct",0.0
"swarm","6","user_50","errorPct",0.0
