"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",19.0
"k8s",2,"resTime",19.0
"k8s",3,"resTime",18.0
"k8s",4,"resTime",18.0
"k8s",5,"resTime",19.0
"k8s",6,"resTime",18.0
"nomad",1,"resTime",26
"nomad",2,"resTime",28
"nomad",3,"resTime",26.0
"nomad",4,"resTime",28.0
"nomad",5,"resTime",28.0
"nomad",6,"resTime",29.0
"swarm",1,"resTime",13.0
"swarm",2,"resTime",13.0
"swarm",3,"resTime",13.0
"swarm",4,"resTime",13.0
"swarm",5,"resTime",13.0
"swarm",6,"resTime",13.0
"k8s",1,"throughput",979.1853178155775
"k8s",2,"throughput",954.5888449474976
"k8s",3,"throughput",1000.5717552887365
"k8s",4,"throughput",996.271099598645
"k8s",5,"throughput",958.8778389633161
"k8s",6,"throughput",990.6875371507826
"nomad",1,"throughput",657.402671213413
"nomad",2,"throughput",565.7727561484708
"nomad",3,"throughput",669.1480240081066
"nomad",4,"throughput",699.384541603389
"nomad",5,"throughput",689.3970730169985
"nomad",6,"throughput",667.9261846147974
"swarm",1,"throughput",1411.51798677206
"swarm",2,"throughput",1415.514033810564
"swarm",3,"throughput",1403.7620823807806
"swarm",4,"throughput",1410.948963960332
"swarm",5,"throughput",1393.9224979091161
"swarm",6,"throughput",1413.1707514030768
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.8542857
"nomad",2,"errorPct",28.751429
"nomad",3,"errorPct",1.8914286
"nomad",4,"errorPct",0.0
"nomad",5,"errorPct",0.0
"nomad",6,"errorPct",0.0
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
