"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,34995,0,0.0,12.239262751821627,2.0,1648.0,18.0,21.0,33.0,1194.409365507355,288.10460281280933,230.95024840864878
2,34995,0,0.0,11.77182454636373,2.0,120.0,18.0,22.0,31.0,1240.4735741377476,299.2157937617419,239.85719499929107
3,34995,0,0.0,11.5570224317759,2.0,131.0,18.0,22.0,31.0,1263.9962435888174,304.88971891253703,244.4055236626815
4,34995,0,0.0,11.744277753964832,2.0,118.0,18.0,22.0,31.0,1244.310908832314,300.14140086091953,240.59917963749822
5,34995,0,0.0,11.732076010858675,2.0,104.0,18.0,21.0,32.0,1239.6386822529223,299.014408707492,239.69576082624866
6,34995,0,0.0,11.888212601800351,2.0,107.0,18.0,22.0,32.0,1231.7845828933473,297.1199140377508,238.17709708289334
