"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,18.78217142857138,2.0,145.0,46.0,53.0,74.0,53.01279274421479,17.420823959584247,51.53767332816585,10.692013199144071
2,35000,0,0.0,18.575714285714376,2.0,159.0,46.0,53.0,74.0,53.59565599551634,17.365098744153666,52.08775028932084,10.80943928128991
3,35000,0,0.0,18.63437142857147,2.0,133.0,46.0,53.0,75.0,53.42491890860523,17.27089238731314,51.935568116771606,10.775229262068308
4,35000,0,0.0,18.620257142857078,2.0,180.0,46.0,53.0,74.9900000000016,53.46645972600731,17.339936159934997,51.99082870005087,10.783491235224162
5,35000,0,0.0,18.609371428571105,2.0,131.0,46.0,53.0,74.0,53.503402816419126,17.249696376786726,52.0229111125039,10.791025776315267
6,35000,0,0.0,18.614542857142947,2.0,148.0,46.0,53.0,75.0,53.493017632826984,17.236322021063152,52.00050870904536,10.78882373964719
