"runNumber","startTime","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,"warm",5833,0,0.0,3.2938453625921364,2.0,67.0,4.0,5.0,10.0,292.2637538831546,1.6368919120625838,95.6136304207586,55.94110914169757
1,"cold",5833,0,0.0,4.503685924909997,2.0,5506.0,4.0,5.0,10.0,217.13881547109406,76.55661291663571,71.03662420196925,41.5617263987641
1,"warm",5833,0,0.0,3.107148979941708,2.0,61.0,4.0,4.0,6.0,310.150475886638,1.106009266006012,101.46524357619504,59.3647395251768
1,"cold",5833,0,0.0,3.696382650437168,2.0,85.0,5.0,5.0,9.0,257.15293391526694,1.6296976876531468,84.12718052892033,49.22067875721906
1,"warm",5833,0,0.0,3.442653865935195,2.0,553.0,4.0,4.0,8.0,277.62970014278915,7.329486782502756,90.82612260530699,53.14005979295573
1,"cold",5833,0,0.0,4.132350420024001,2.0,4298.0,4.0,6.0,9.659999999999854,236.09649477859628,56.24965755950595,77.23859936604468,45.190344703715695
2,"warm",5833,0,0.0,3.5518601062917936,2.0,1006.0,4.0,5.0,11.0,271.92205491585474,13.384844955079236,88.95887538751107,52.04758082373782
2,"cold",5833,0,0.0,4.250300017143839,2.0,4497.0,4.0,5.0,11.0,229.41083929835602,58.85246159914033,75.05139762202077,43.91066845945096
2,"warm",5833,0,0.0,3.4858563346476963,2.0,79.0,4.0,5.0,12.0,278.42482100238664,1.959863168655035,91.08624515214798,53.292250894988065
2,"cold",5833,0,0.0,3.186696382650432,2.0,76.0,4.0,5.0,9.0,302.60427474579785,1.6600531148689663,98.99651566390848,57.92034946306288
2,"warm",5833,0,0.0,3.1057774729984624,2.0,67.0,4.0,4.0,8.0,310.6460030888853,1.490466693188678,101.627354526149,59.459586528731954
2,"cold",5833,0,0.0,4.06257500428595,2.0,3710.0,4.0,5.0,8.0,238.754041995825,48.54608024076405,78.10801178574351,45.699015850763374
3,"warm",5833,0,0.0,3.2266415223727076,2.0,67.0,4.0,4.0,8.0,297.0261737447805,1.3504800185202197,97.17164863720846,56.852666068336895
3,"cold",5833,1,0.017143836,3.994513972226988,2.0,3087.0,4.0,5.0,9.0,240.48649762935477,40.39257761707326,78.6689439033189,46.03061868686869
3,"warm",5833,0,0.0,3.203497342705295,2.0,74.0,4.0,4.0,7.0,300.2676824873881,1.3621782572890893,98.23210315749512,57.47311110110162
3,"cold",5833,0,0.0,3.3416766672381373,2.0,75.0,4.0,5.0,8.0,289.5795065283225,1.4886423235466806,94.73548309276175,55.42732742143672
