"runNumber","startTime","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,"warm",5833,0,0.0,3.3713355048859848,2.0,79.0,4.0,5.0,8.0,288.0351587575922,94.23025213261073,55.13172960594538
1,"cold",5833,0,0.0,3.10886336362077,2.0,100.0,4.0,4.0,8.0,311.35902636916836,101.86061897819472,59.596063640973625
1,"warm",5833,0,0.0,3.0459454825990133,2.0,62.0,4.0,4.0,8.0,317.28677110530896,103.79987140652197,60.730671031875545
1,"cold",5833,1,0.017143836,4.482427567289568,2.0,6042.0,4.0,5.0,9.659999999999854,217.38968395945142,71.11341809686195,41.609744195363746
1,"warm",5833,0,0.0,3.1573804217383916,2.0,71.0,4.0,4.0,8.0,305.3287269681742,99.8878159515023,58.441826646252096
1,"cold",5833,0,0.0,3.5366020915480894,2.0,92.0,4.0,5.0,9.0,274.223120680739,89.71166545707771,52.4880191927977
2,"warm",5833,0,0.0,3.385907766158061,2.0,66.0,4.0,5.0,9.0,285.1486116542823,93.28592275799276,54.579226449452484
2,"cold",5833,1,0.017143836,5.402022972741296,2.0,10100.0,5.0,6.0,10.0,181.58894215802255,59.402130451870995,34.757258459934
2,"warm",5833,0,0.0,3.348362763586487,2.0,65.0,4.0,5.0,8.0,288.73378873378874,94.45880783771408,55.265451749826745
2,"cold",5833,0,0.0,3.3780216012343534,2.0,97.0,4.0,5.0,8.659999999999854,287.4106922887411,94.02595890305493,55.012202820891844
2,"warm",5833,0,0.0,2.951825818618205,2.0,64.0,4.0,4.0,8.0,328.5456798467951,107.48320580925424,62.88569653317562
2,"cold",5833,0,0.0,6.3413337905023015,2.0,16101.0,4.0,5.0,10.0,155.02578004571308,50.71644171417371,29.672903211874768
3,"warm",5833,0,0.0,3.532659009086236,2.0,202.0,4.0,5.0,10.0,274.4424578902795,89.78342128246447,52.530001705561304
3,"cold",5833,1,0.017143836,4.890622321275488,2.0,6702.0,5.0,6.0,13.659999999999854,200.3159449156908,65.52818552749065,38.34172383151894
3,"warm",5833,0,0.0,3.35024858563346,2.0,70.0,4.0,5.0,9.0,288.9769630914045,94.53836194884816,55.31199684171415
3,"cold",5833,1,0.017143836,6.385222012686436,2.0,15404.0,5.0,6.0,11.0,153.9090741180506,50.34737682722499,29.459158717908124
3,"warm",5833,0,0.0,3.397394136807816,2.0,72.0,4.0,5.0,9.0,285.4137104271664,93.37264940732494,54.62996801144982
3,"cold",5833,0,0.0,3.434253385907763,2.0,120.0,4.0,5.0,9.0,282.4970941495544,92.41848294931712,54.071709427063155
4,"warm",5833,0,0.0,3.298817075261438,2.0,68.0,4.0,5.0,9.0,293.17450743868113,95.91158202339666,56.11543306443506
4,"cold",5833,0,0.0,4.830447454140227,2.0,8342.0,4.0,6.0,10.0,201.82692640393066,66.02736361847342,38.63093513200236
4,"warm",5833,0,0.0,3.2376135779187467,2.0,73.0,4.0,4.0,8.0,296.84478371501274,97.11230717239187,56.81794688295166
4,"cold",5833,0,0.0,3.6523229898851377,2.0,102.0,4.0,5.0,10.0,266.3835228570124,87.14695327841714,50.98747117185003
4,"warm",5833,0,0.0,3.2669295388307993,2.0,66.0,4.0,4.0,8.0,296.33204633204633,96.94456593870656,56.71980574324324
4,"cold",5833,9,0.15429454,6.223727070118284,2.0,13313.0,5.0,6.0,11.0,157.746707412716,51.57212380331017,30.193705715715176
5,"warm",5833,0,0.0,3.252185839190801,2.0,853.0,4.0,4.0,8.0,297.95167798947745,97.47442590476068,57.02981336517341
5,"cold",5833,6,0.10286302,4.377335847762731,2.0,4904.0,4.0,5.0,10.0,221.85455651909325,72.54705714903773,42.46434870873269
5,"warm",5833,0,0.0,3.368421052631579,2.0,1313.0,4.0,5.0,9.0,287.5949117444039,94.08622601013214,55.04746357607731
5,"cold",5833,0,0.0,5.839705126007212,2.0,13880.0,4.0,5.0,10.0,167.9527785775986,54.94548908544486,32.14721152461849
5,"warm",5833,0,0.0,3.2382993313903734,2.0,71.0,4.0,5.0,8.0,298.4853136833487,97.64900398820488,57.131954572203455
5,"cold",5833,1,0.017143836,4.845705468883926,2.0,6092.0,5.0,6.0,10.659999999999854,201.1309954829144,65.79480826092204,38.49772960415158
6,"warm",5833,0,0.0,3.1313217898165724,2.0,70.0,4.0,4.0,8.0,308.5590351248413,100.94460621759946,59.06012781686415
6,"cold",5833,0,0.0,3.5959197668438216,2.0,95.0,4.0,5.0,9.0,269.38530457673306,88.12898147773981,51.562030954140305
6,"warm",5833,0,0.0,3.655923195611184,2.0,75.0,4.0,5.0,12.0,264.13983607299735,86.41293465278721,50.558015498347146
6,"cold",5833,6,0.10286302,5.05657466140922,2.0,4758.0,5.0,6.0,10.0,193.12011654085552,63.15081534109721,36.964397306648124
6,"warm",5833,0,0.0,3.4111092062403534,2.0,72.0,4.0,5.0,9.0,283.05915465618483,92.6023601658417,54.17929132091037
6,"cold",5833,0,0.0,3.5612892165266525,2.0,146.0,4.0,5.0,9.0,272.5700934579439,89.17088018399534,52.171619450934585
