"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,6.004400000000014,2.0,853.0,8.0,9.0,15.0,816.9743936882893,10.617462775898685,274.45233537965964,156.37400504189912
2,35000,0,0.0,5.845199999999997,2.0,866.0,8.0,9.0,14.0,837.6412023741145,10.52208291143481,281.3950914225541,160.32976139192036
3,35000,0,0.0,5.699628571428606,2.0,1070.0,8.0,9.0,14.0,859.4862727763863,12.847634865044844,288.73366976081724,164.51104439860518
4,35000,0,0.0,5.746771428571416,2.0,1649.0,8.0,9.0,14.0,851.3536523071684,19.778653594439664,286.0016175719394,162.95441001191895
5,35000,0,0.0,5.413571428571435,1.0,67.0,7.0,9.0,14.0,905.3987634839744,2.2143909649561127,304.1573971078977,173.2989820731045
6,35000,0,0.0,5.904171428571405,1.0,831.0,8.0,9.0,15.0,830.8013672616787,10.041017895201946,279.0973343144702,159.02057420243068
