"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,13.78757142857137,1.0,99.0,20.0,22.0,29.0,1406.4697609001407,5.7458869980157425,442.26881153305203,269.20710267229254
2,35000,0,0.0,13.77708571428565,1.0,99.0,20.0,23.0,30.9900000000016,1409.8690835850957,5.752311117718691,443.33773917421956,269.85775427995975
3,35000,0,0.0,13.849857142857173,1.0,88.0,20.0,23.0,30.0,1399.6081097292758,5.611211952065984,440.11114387971367,267.8937397528692
4,35000,0,0.0,13.855657142857135,1.0,116.0,20.0,23.0,30.0,1405.1710293881483,5.7428807120881356,441.86042135057005,268.95851734382524
5,35000,0,0.0,13.986885714285737,1.0,143.0,20.0,23.0,30.0,1389.6609227348526,5.944568513568067,436.98321984435796,265.9897859922179
6,35000,0,0.0,13.794314285714274,1.0,98.0,20.0,23.0,30.0,1407.6010456464912,5.587622776078123,442.62454755680676,269.4236376432737
