"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,3.2676285714285656,2.0,78.0,4.0,5.0,8.0,300.69503509540624,72.53093131695833,58.142204051650815
2,35000,0,0.0,3.3680571428571517,2.0,1521.0,4.0,5.0,7.0,292.07313511303227,70.45123473917869,56.47507885974648
3,35000,0,0.0,3.4098000000000175,2.0,71.0,4.0,5.0,8.0,288.6050481145844,69.61469422295153,55.80449172528098
4,35000,0,0.0,3.320228571428579,2.0,70.0,4.0,5.0,8.0,295.5756547000752,71.29608077238142,57.15232385802235
5,35000,0,0.0,3.2907714285714236,2.0,94.0,4.0,5.0,8.0,298.4387390536934,71.98668803345925,57.705928059210244
6,35000,0,0.0,3.4274571428571323,2.0,84.0,4.0,5.0,8.0,284.60375026427494,68.64953741726163,55.030803273756284
