"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",4.0
"k8s",2,"resTime",4.0
"k8s",3,"resTime",4.0
"k8s",4,"resTime",4.0
"k8s",5,"resTime",4.0
"k8s",6,"resTime",4.0
"nomad",1,"resTime",6
"nomad",2,"resTime",6.0
"nomad",3,"resTime",6
"nomad",4,"resTime",6.0
"nomad",5,"resTime",6
"nomad",6,"resTime",6.0
"swarm",1,"resTime",4.0
"swarm",2,"resTime",4.0
"swarm",3,"resTime",4.0
"swarm",4,"resTime",4.0
"swarm",5,"resTime",4.0
"swarm",6,"resTime",4.0
"k8s",1,"throughput",208.11035794981566
"k8s",2,"throughput",214.86761085633952
"k8s",3,"throughput",220.23243960911887
"k8s",4,"throughput",215.4800896397173
"k8s",5,"throughput",220.0690388013154
"k8s",6,"throughput",215.9200972257352
"nomad",1,"throughput",106.25835032698122
"nomad",2,"throughput",76.23774531296586
"nomad",3,"throughput",106.54897996567095
"nomad",4,"throughput",76.19872480005897
"nomad",5,"throughput",88.93921870984323
"nomad",6,"throughput",112.18149846567597
"swarm",1,"throughput",226.47858159699754
"swarm",2,"throughput",229.56690563488365
"swarm",3,"throughput",233.70414390833454
"swarm",4,"throughput",236.06221250994835
"swarm",5,"throughput",233.54040582649952
"swarm",6,"throughput",231.80189547721386
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",56.825714
"nomad",2,"errorPct",75.16
"nomad",3,"errorPct",55.12857
"nomad",4,"errorPct",76.37143
"nomad",5,"errorPct",52.54
"nomad",6,"errorPct",53.52
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
