"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",16.0
"k8s",2,"resTime",16.0
"k8s",3,"resTime",16.0
"k8s",4,"resTime",16.0
"k8s",5,"resTime",15.0
"k8s",6,"resTime",16.0
"nomad",1,"resTime",20.0
"nomad",2,"resTime",19.0
"nomad",3,"resTime",17
"nomad",4,"resTime",17.0
"nomad",5,"resTime",21.0
"nomad",6,"resTime",19
"swarm",1,"resTime",13.0
"swarm",2,"resTime",13.0
"swarm",3,"resTime",13.0
"swarm",4,"resTime",13.0
"swarm",5,"resTime",13.0
"swarm",6,"resTime",13.0
"k8s",1,"throughput",590.3685586573332
"k8s",2,"throughput",592.4972914409534
"k8s",3,"throughput",577.3672055427252
"k8s",4,"throughput",601.8502596553977
"k8s",5,"throughput",631.3017441965333
"k8s",6,"throughput",605.8298137506058
"nomad",1,"throughput",482.738645297436
"nomad",2,"throughput",490.3324503874103
"nomad",3,"throughput",454.2178252804523
"nomad",4,"throughput",487.6621476640983
"nomad",5,"throughput",451.3566491282369
"nomad",6,"throughput",479.4032910410549
"swarm",1,"throughput",749.8018380856488
"swarm",2,"throughput",742.2015819496576
"swarm",3,"throughput",733.3528894103843
"swarm",4,"throughput",733.2453438920663
"swarm",5,"throughput",731.6818229329988
"swarm",6,"throughput",750.8634930169695
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.0
"nomad",2,"errorPct",1.0971428
"nomad",3,"errorPct",26.54
"nomad",4,"errorPct",0.0
"nomad",5,"errorPct",0.0
"nomad",6,"errorPct",1.1114286
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
