"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,34995,12724,36.35948,172.90258608372707,0.0,1127.0,290.0,334.0,1003.0,84.11976520020961,54.85436919640925,17.19530190840933
2,34995,0,0.0,216.034290612946,11.0,833.0,300.0,340.0,466.9900000000016,69.11432154601204,64.25967947048397,14.12725764562987
3,34995,0,0.0,214.60777253893573,15.0,3074.0,300.0,334.0,397.0,69.47036169452495,64.69298514300532,14.200504833222496
4,34995,0,0.0,221.41243034719164,14.0,1124.0,293.0,321.0,383.0,67.57461303179164,62.90881316353269,13.812572472058735
5,34995,0,0.0,218.77491070152914,17.0,1240.0,285.0,309.0,363.0,68.40625830766103,63.67876012679445,13.982709802649069
6,34995,0,0.0,196.18899842834614,15.0,1587.0,335.0,409.0,597.0,75.94170316006024,70.4068430741579,15.522822199547972
