"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,20.447314285714373,4.0,218.0,28.0,31.0,39.0,482.2929585228056,116.33433667493456,93.25586502687062
2,35000,384,1.0971428,19.93857142857129,3.0,226.0,30.0,35.0,53.0,495.2246197382384,119.24666165546516,95.75632295719845
3,35000,9289,26.54,15.51005714285703,0.0,1475.0,28.0,34.0,51.0,614.4123584657247,135.68448348218203,118.80238962520845
4,35000,0,0.0,20.286400000000032,4.0,243.0,35.0,43.0,63.9900000000016,487.2073275982071,117.51973624683316,94.20610435980959
5,35000,0,0.0,21.868314285714373,4.0,1020.0,30.0,33.0,41.0,450.932141154644,108.769764516794,87.19195698107373
6,35000,389,1.1114286,20.29868571428566,3.0,1007.0,31.0,36.0,55.0,484.32851311146476,116.62031941897875,93.64945858991213
