"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,34995,0,0.0,501.4144877839676,53.0,2163.0,565.0,589.9500000000007,698.9900000000016,29.863062561814704,74.56960058642879,9.39053334463314,5.686813671439324
2,34995,0,0.0,504.9137591084476,55.0,1790.0,568.0,599.0,820.0,29.639171983423406,73.64631547445187,9.320130252599938,5.644178258562074
3,34995,0,0.0,495.15373624803334,53.0,1402.0,560.0,586.0,694.0,30.22803835190464,65.68628798627655,9.505301122376263,5.756315897091215
4,34995,0,0.0,499.8546363766235,53.0,1597.0,566.0,594.0,778.9800000000032,29.94532058906583,72.1028020893309,9.41639963835859,5.702478041863121
5,34995,0,0.0,504.18025432204416,53.0,1492.0,572.0,603.0,787.9900000000016,29.70632376709631,72.21945856839257,9.341246340825208,5.656965951741974
6,34995,0,0.0,505.1973996285167,54.0,1503.0,569.0,604.0,811.9800000000032,29.634302795760846,75.48268414051691,9.318599121323233,5.643251020677114
