"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,62.72708571428556,2.0,318.0,84.0,96.0,137.0,785.845794602362,21.290941351346373,189.5546008464682,151.9506516906911
2,35000,0,0.0,61.98285714285702,3.0,318.0,82.0,92.0,137.0,791.4075749010741,22.164989768975225,190.89616308648954,153.02607405313736
3,35000,0,0.0,62.2555142857142,3.0,510.0,83.0,92.0,125.0,789.4618126043217,22.117294532598756,190.42682393873775,152.64984267153875
4,35000,0,0.0,62.67631428571404,2.0,248.0,85.0,95.0,136.0,784.1028742971077,20.38179256241842,189.13418940565,151.61364170979232
5,35000,0,0.0,62.09454285714288,2.0,337.0,80.0,91.0,134.9900000000016,791.5507610195174,22.242177997263138,190.93070114435625,153.05376043150824
6,35000,0,0.0,62.05680000000038,2.0,401.0,83.0,94.0,137.9900000000016,790.2104217465909,25.895367292045112,190.60739665176555,152.7945932674072
