"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,65,0.18571429,32.045857142857244,3.0,2035.0,41.0,48.0,66.0,609.1405896480908,29.100095343405275,149.25023699376067,117.7830437014863
2,35000,0,0.0,32.54797142857165,3.0,1262.0,41.0,47.0,63.0,605.6620751713159,36.10074899106236,148.45818444140653,117.11044031632865
3,35000,0,0.0,31.771714285714314,3.0,259.0,42.0,48.0,65.0,619.995748600581,9.604960403587917,151.9716141589315,119.88199045206548
4,35000,0,0.0,31.50802857142855,3.0,2268.0,42.0,48.0,62.0,623.141702423131,25.207278512854437,152.7427415119198,120.4902901169726
5,35000,0,0.0,33.355999999999796,3.0,628.0,44.0,50.0,68.0,592.1364282330649,14.886974039643858,145.14281590478447,114.49512967787778
6,35000,0,0.0,32.048885714285674,3.0,2034.0,42.0,48.95000000000073,65.0,608.7274118649668,32.50889820385678,149.2095511504948,117.70315190357758
