"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,13.134428571428483,2.0,80.0,16.0,19.0,25.0,748.6470877628286,180.58186589591668,144.75793298539068
2,35000,0,0.0,13.27251428571417,2.0,88.0,16.0,18.0,30.0,741.0230352303523,178.74286103700882,143.2837509527439
3,35000,0,0.0,13.443628571428546,2.0,98.0,17.0,19.0,27.0,732.171621027969,176.6078031190511,141.57224703470493
4,35000,0,0.0,13.43362857142857,2.0,158.0,16.0,18.0,26.0,732.018488695543,176.57086592558508,141.54263746261475
5,35000,0,0.0,13.267628571428562,2.0,92.0,16.0,19.0,27.0,741.4311740033047,178.84130857306275,143.36266841079524
6,35000,0,0.0,13.116742857142837,2.0,74.0,16.0,18.0,26.0,749.6733566089061,180.82941316640608,144.9563716880502
