"runNumber","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,35000,0,0.0,3.170342857142847,2.0,103.0,4.0,4.0,8.0,310.7878917037392,1.3238490252933577,89.23011734462825,58.879737295434964
2,35000,0,0.0,3.188171428571431,2.0,815.0,4.0,4.0,7.0,308.6882513251545,6.364138826793312,88.62729090780805,58.48195386433593
3,35000,0,0.0,3.1912857142857285,2.0,1923.0,4.0,4.0,7.0,308.45972837917634,10.335325222736019,88.56167982761508,58.43865947808614
4,35000,0,0.0,3.1910285714285744,2.0,645.0,4.0,4.0,8.0,308.0687609474435,4.580298686790411,88.4494294126449,58.36458947637112
5,35000,0,0.0,3.0771142857142593,2.0,2120.0,4.0,4.0,7.0,319.0403266972945,11.369998298032483,91.59946879785605,60.44318689382338
6,35000,0,0.0,3.121257142857157,2.0,63.0,4.0,4.0,8.0,314.9237884431967,1.189150942788041,90.41757207255844,59.6632958574025
